Row,Title,Author,Error
2,Fairy Tale,Stephen king,Book not found in database
3,After That Night,Karin Slaughter,Book not found in database
6,Under The Harrow,Flynn Berry,Book not found in database
7,The Kept Woman,Karin Slaughter,Book not found in database
8,Warning Signs,Stephen White,Book not found in database
13,7 Hours To Die,James Patterson,Book not found in database
14,Make Me,Lea Child,Book not found in database
16,A Manner OF Death,Stephen White,Book not found in database
17,The Madness Of Crows,Louise Penny,Book not found in database
18,Ashley Bell,Dean Koontz,Book not found in database
20,State Of Terror,Louise Penny/Hilary Clinton,Book not found in database
28,A World Of Curiosity,Louise Penny,Book not found in database
32,That Is Why We Lied,Karin Slaughter,Book not found in database
33,The Wrath Of Angles,John Connolly,Book not found in database
34,Skeleton Crew,Stephen king,Book not found in database
37,Critical Condition,Stephen White,Book not found in database
39,Chaos Rising,Kyla Stone,Book not found in database
41,The Institute,Stephen king,Book not found in database
43,Edge OF Collapse,Kyla Stone,Book not found in database
48,Compound Fracture,Stephen White,Book not found in database
49,True Crime Case History Vol.1-2-3,Jason Neal,Book not found in database
54,The Gray Wolf,Louise Penny,Book not found in database
55,The Twisted Women's Book Club,Karin Slaughter. Lees Child+,Book not found in database
59,Bad Blood,John Sanford,Book not found in database
60,Don't Let Him In,Lisa Jewell,Book not found in database
64,Just Another Missing Person,Gillian McAllister,Book not found in database
65,Lust killer,Ann Rule,Book not found in database
66,The Outsider,Stephen king,Book not found in database
68,Shock Wave,John Sanford,Book not found in database
69,Bloody Genius,John Sanford,Book not found in database
70,The Spider,Barry Levine,Book not found in database
72,Past Tense,Lea Child,Book not found in database
73,The Cruellest Month,Louise Penny,Book not found in database
74,Don't Look  Behind YOU,Ann Rule,Book not found in database
77,Mad River,John Sanford,Book not found in database
78,Deep Freeze,John Sanford,Book not found in database
80,Edge Of Madness,Kyla Stone,Book not found in database
81,The Black Angle,John Connolly,Book not found in database
82,Mr. Mercedes,Stephen king,Book not found in database
84,The I 5 Killer,Ann Rule,Book not found in database
85,Never Flinch,Stephen king,Book not found in database
86,Storm Front,John Sanford,Book not found in database
87,Personal,Lea Child,Book not found in database
88,The False Witness,Karin Slaughter,Book not found in database
90,Holy Ghost,John Sanford,Book not found in database
92,Finders Keepers,Stephen king,Book not found in database
93,Dark Hollow,John Connolly,Book not found in database
94,Holly,Stephen king,Book not found in database
95,The Unquiet,John Connolly,Book not found in database
99,Edge Of Darkness,Kyla Stone,Book not found in database
100,Dark Of The Moon,John Sanford,Book not found in database
101,The Girl From Widow Hill,Megan Miranda,Book not found in database
102,Deadline,John Sanford,Book not found in database
104,Heat Lighting,John Sanford,Book not found in database
105,The Revelation,Bentley Little,"Invalid date format. Supported examples: YYYY-MM-DD, DD-MM-YY, DD/MM/YYYY"
107,Mrs. Beato's Question,Robert Mercer,Book not found in database
109,Oak Island Mystery Solved The Final Chapter,"Joy A Steel, Gordon Fader",Book not found in database
114,Rough Country,John Sanford,Book not found in database
115,Night School,Lea Child,Book not found in database
117,End Of Watch,Stephen king,Book not found in database
118,Finding The Other Woman,Cole Baxter,Book not found in database
120,The Black Wolf,Louise Penny,Book not found in database
123,Escape Clause,John Sanford,Book not found in database
124,The Midnight Line,Lee Child,Book not found in database
125,Cleaning The Gold,Karin Slaughter & Lee Child,Book not found in database
127,Blue Moon,Lea Child,Book not found in database
130,Snatched,Karin Slaughter,Book not found in database
131,The Sentinel,Lee Child,Book not found in database
134,Busted,Karin Slaughter,Book not found in database
137,Title,Author,Book not found in database
138,Song Of Shadows,John Connolly,Book not found in database
