Row,Title,Author,Error
1,Unseen,Karin Slaughter,Duplicate - book already exists
3,After That Night,Karin Slaughter,Duplicate - book already exists
4,Triptych,Karin Slaughter,Duplicate - book already exists
5,Death Instinct,Bentley Little,Duplicate - book already exists
6,Under The Harrow,Flynn Berry,Duplicate - book already exists
7,The Kept Woman,Karin Slaughter,Duplicate - book already exists
8,Warning Signs,Stephen White,Duplicate - book already exists
9,Kill Me,Stephen White,Duplicate - book already exists
10,The Best Revenge,Stephen White,Duplicate - book already exists
11,Missing Persons,Stephen White,Duplicate - book already exists
12,Glass Houses,Louise Penny,Duplicate - book already exists
14,Make Me,Lea Child,Duplicate - book already exists
15,The Burning Soul,John Connolly,Duplicate - book already exists
16,A Manner OF Death,Stephen White,Duplicate - book already exists
17,The Madness Of Crows,Louise Penny,Duplicate - book already exists
18,Ashley Bell,Dean Koontz,Duplicate - book already exists
19,The Beautiful Mystery,Louise Penny,Duplicate - book already exists
20,State Of Terror,Louise Penny/Hilary Clinton,Duplicate - book already exists
21,The Last Lie,Stephen White,Duplicate - book already exists
22,Harm's Way,Stephen White,Duplicate - book already exists
23,Kingdom Of The Blind,Louise Penny,Duplicate - book already exists
24,A Cold Dark Place,Toni Anderson,Duplicate - book already exists
25,Privileged Information,Stephen White,Duplicate - book already exists
26,Remote Control,Stephen White,Duplicate - book already exists
27,Blinded,Stephen White,Duplicate - book already exists
28,A World Of Curiosity,Louise Penny,Duplicate - book already exists
29,Dry Ice,Stephen White,Duplicate - book already exists
30,The Good Daughter,Karin Slaughter,Duplicate - book already exists
31,A Better Man,Louise Penny,Duplicate - book already exists
32,That Is Why We Lied,Karin Slaughter,Duplicate - book already exists
33,The Wrath Of Angles,John Connolly,Duplicate - book already exists
35,Line Of Fire,Stephen White,Duplicate - book already exists
36,Private Practices,Stephen White,Duplicate - book already exists
37,Critical Condition,Stephen White,Duplicate - book already exists
38,Cold Case,Stephen White,Duplicate - book already exists
39,Chaos Rising,Kyla Stone,Duplicate - book already exists
40,All The Devils Are Here,Louise Penny,Duplicate - book already exists
42,How The Light Gets In,Louise Penny,Duplicate - book already exists
43,Edge OF Collapse,Kyla Stone,Duplicate - book already exists
44,The Long Way Home,Louise Penny,Duplicate - book already exists
45,A Great Reckoning,Louise Penny,Duplicate - book already exists
46,The Program,Stephen White,Duplicate - book already exists
47,The Wolf In Winter,John Connolly,Duplicate - book already exists
48,Compound Fracture,Stephen White,Duplicate - book already exists
50,Dead Time,Stephen White,Duplicate - book already exists
51,The Siege,Stephen White,Duplicate - book already exists
52,Girl Forgotten,Karin Slaughter,Duplicate - book already exists
53,The Nature Of The Beast,Louise Penny,Duplicate - book already exists
54,The Gray Wolf,Louise Penny,Duplicate - book already exists
55,The Twisted Women's Book Club,Karin Slaughter. Lees Child+,Duplicate - book already exists
56,A Faint Cold Fear,Karin Slaughter,Duplicate - book already exists
57,Higher Authority,Stephen White,Duplicate - book already exists
58,The White Road,John Connolly,Duplicate - book already exists
59,Bad Blood,John Sanford,Duplicate - book already exists
60,Don't Let Him In,Lisa Jewell,Duplicate - book already exists
61,The Mailman,Bentley Little,Duplicate - book already exists
62,A Fatal Grace,Louise Penny,Duplicate - book already exists
63,Resurrection Walk,Michael Connelly,Duplicate - book already exists
64,Just Another Missing Person,Gillian McAllister,Duplicate - book already exists
65,Lust killer,Ann Rule,Duplicate - book already exists
67,The Great Halifax Explosion,John U. Bacon,Duplicate - book already exists
68,Shock Wave,John Sanford,Duplicate - book already exists
69,Bloody Genius,John Sanford,Duplicate - book already exists
70,The Spider,Barry Levine,Duplicate - book already exists
71,A Trick Of The Light,Louise Penny,Duplicate - book already exists
72,Past Tense,Lea Child,Duplicate - book already exists
73,The Cruellest Month,Louise Penny,Duplicate - book already exists
75,Dominion,Bentley Little,Duplicate - book already exists
76,The Waiting,Michael Connelly,Duplicate - book already exists
77,Mad River,John Sanford,Duplicate - book already exists
78,Deep Freeze,John Sanford,Duplicate - book already exists
79,The Lovers,John Connolly,Duplicate - book already exists
80,Edge Of Madness,Kyla Stone,Duplicate - book already exists
81,The Black Angle,John Connolly,Duplicate - book already exists
83,Every Dead Thing,John Connolly,Duplicate - book already exists
