84,The I 5 Killer,Ann Rule,Duplicate - book already exists
86,Storm Front,John Sanford,Duplicate - book already exists
87,Personal,Lea Child,Duplicate - book already exists
88,The False Witness,Karin Slaughter,Duplicate - book already exists
89,Edge of Defiance,Kyla Stone,Duplicate - book already exists
90,Holy Ghost,John Sanford,Duplicate - book already exists
91,The Summoning,Bentley Little,Duplicate - book already exists
93,Dark Hollow,John Connolly,Duplicate - book already exists
95,The Unquiet,John Connolly,Duplicate - book already exists
96,The Whisperers,John Connolly,Duplicate - book already exists
97,Still Life,Louise Penny,Duplicate - book already exists
98,A Rule Against Murder,Louise Penny,Duplicate - book already exists
99,Edge Of Darkness,Kyla Stone,Duplicate - book already exists
100,Dark Of The Moon,John Sanford,Duplicate - book already exists
101,The Girl From Widow Hill,Megan Miranda,Duplicate - book already exists
102,Deadline,John Sanford,Duplicate - book already exists
103,The House,Bentley Little,Duplicate - book already exists
104,Heat Lighting,John Sanford,Duplicate - book already exists
105,The Revelation,Bentley Little,Duplicate - book already exists
106,The Brutal Telling,Louise Penny,Duplicate - book already exists
107,Mrs. Beato's Question,Robert Mercer,Duplicate - book already exists
108,Edge Of Survival,Kyla Stone,Duplicate - book already exists
109,Oak Island Mystery Solved The Final Chapter,"Joy A Steel, Gordon Fader",Duplicate - book already exists
110,Edge of Anarchy,Kyla Stone,Duplicate - book already exists
111,The Killing Kind,John Connolly,Duplicate - book already exists
112,University,Bentley Little,Duplicate - book already exists
113,Pieces Of Her,Karin Slaughter,Duplicate - book already exists
114,Rough Country,John Sanford,Duplicate - book already exists
115,Night School,Lea Child,Duplicate - book already exists
116,Bury Your Dead,Louise Penny,Duplicate - book already exists
118,Finding The Other Woman,Cole Baxter,Duplicate - book already exists
119,The Hangman,Louise Penny,Duplicate - book already exists
120,The Black Wolf,Louise Penny,Duplicate - book already exists
121,The Reapers,John Connolly,Duplicate - book already exists
122,Edge of Valor,Kyla Stone,Duplicate - book already exists
123,Escape Clause,John Sanford,Duplicate - book already exists
124,The Midnight Line,Lee Child,Duplicate - book already exists
125,Cleaning The Gold,Karin Slaughter & Lee Child,Duplicate - book already exists
126,Broken,Karin Slaughter,Duplicate - book already exists
127,Blue Moon,Lea Child,Duplicate - book already exists
128,Fractured,Karin Slaughter,Duplicate - book already exists
129,Fallen,Karin Slaughter,Duplicate - book already exists
130,Snatched,Karin Slaughter,Duplicate - book already exists
131,The Sentinel,Lee Child,Duplicate - book already exists
132,Undone,Karin Slaughter,Duplicate - book already exists
133,Criminal,Karin Slaughter,Duplicate - book already exists
134,Busted,Karin Slaughter,Duplicate - book already exists
135,The Last Widow,Karin Slaughter,Duplicate - book already exists
136,The Silent Wife,Karin Slaughter,Duplicate - book already exists
137,Title,Author,Duplicate - book already exists
138,Song Of Shadows,John Connolly,Duplicate - book already exists
