Row,Title,Author,Error
12,Remembering Whitney,Cissy Houston,Duplicate - book already exists
14,John,Cynthia Lennon,Duplicate - book already exists
22,Sound Man,Glyn Johns,Duplicate - book already exists
25,The Beatles,Hunter Davies,Duplicate - book already exists
61,Beatles '66 The Revolutionary Year,Steve Turner,Duplicate - book already exists
