Row,Title,Author,Error
246,Remembering Whitney,Cissy Houston,Duplicate - book already exists
317,John,Cynthia Lennon,Duplicate - book already exists
689,Sound Man,Glyn Johns,Duplicate - book already exists
757,The Beatles,Hunter Davies,Duplicate - book already exists
2072,Beatles '66 The Revolutionary Year,Steve Turner,Duplicate - book already exists
